[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '67')||affected_row=0||cspanid=||spanid=9fa03e450a8eb1ac||current_time=2020-07-10 23:01:46||proc_time=0.000399s||traceid=c0a8bc9f5f0882da0ca80e155ddb0eb0
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||proc_time=0.000373s||affected_row=0||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23||traceid=c0a8bc9f5f0882da42380e153c374db0||cspanid=||spanid=9fa03e457995c5dc||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '67')
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||current_time=2020-07-10 23:01:46||proc_time=0.000559s||traceid=c0a8bc9f5f0882da0c800e15415dbdb0||cspanid=||spanid=9fa03e450289172b||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_access_control.go:27||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '67')||affected_row=1
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||traceid=c0a8bc9f5f0882dad4680e1577e806b0||cspanid=||spanid=9fa03e457197e134||current_time=2020-07-10 23:01:46||proc_time=0.000493s||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '67')||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_load_balance.go:33||affected_row=1
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||current_time=2020-07-10 23:01:46||affected_row=1||spanid=9fa03e455d214064||level=sql||proc_time=0.000489s||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '68')||traceid=c0a8bc9f5f0882da9a800e15939bb8b0||cspanid=||source=/Users/tao/moduleGo/gin_scaffold/dao/service_http_rule.go:27
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||affected_row=0||traceid=c0a8bc9f5f0882da49280e1545fcddb0||spanid=9fa03e455cb389ac||cspanid=||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21||current_time=2020-07-10 23:01:46||proc_time=0.000377s||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '68')
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||cspanid=||level=sql||affected_row=0||proc_time=0.000461s||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '68')||traceid=c0a8bc9f5f0882da32b00e157ae37ab0||spanid=9fa03e456a857648||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23||current_time=2020-07-10 23:01:46
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||affected_row=1||traceid=c0a8bc9f5f0882da35780e159ad1bdb0||spanid=9fa03e456ae4ae6d||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_access_control.go:27||current_time=2020-07-10 23:01:46||proc_time=0.000416s||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '68')||cspanid=
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||current_time=2020-07-10 23:01:46||affected_row=1||cspanid=||source=/Users/tao/moduleGo/gin_scaffold/dao/service_load_balance.go:33||proc_time=0.000509s||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '68')||traceid=c0a8bc9f5f0882dac6f80e15e57d0fb0||spanid=9fa03e450c68571d
[INFO][2020-07-10T23:02:42.908][log.go:58] _com_mysql_success||affected_row=12||cspanid=||source=/Users/tao/moduleGo/gin_scaffold/dao/service_info.go:68||current_time=2020-07-10 23:02:42||proc_time=0.000805s||sql=SELECT * FROM `gateway_service_info`  WHERE (is_delete=0) ORDER BY id desc LIMIT 999999 OFFSET 0||level=sql||traceid=c0a8bc9f5f0883123ec80e3c104dc7b0||spanid=9fa03f8d380704bb
